,Lab3,Lab2,Lab6,Lab5,Lab4,Fina,Rela,
_avgChars,12974,1770,14435,20105,18004,13627,14435,
analyze,7,0,0,0,3,2,2,
apply,0,0,0,0,4,0,4,
arrange,0,0,0,1,0,0,0,
assess,0,0,0,2,0,0,0,
calculate,1,0,18,36,18,0,2,
categorize,0,0,0,3,0,0,0,
change,22,0,25,33,21,3,5,
choose,0,0,2,4,0,0,1,
classify,0,0,0,0,0,1,0,
collect,2,0,0,2,1,0,1,
compare,0,0,2,4,2,5,8,
conclude,0,0,0,2,0,0,1,
construct,5,0,0,16,9,0,1,
contrast,0,0,0,0,0,1,0,
convert,6,0,5,2,10,0,0,
create,21,0,26,81,20,0,1,
decide,2,0,0,0,0,1,1,
define,36,0,26,38,36,0,3,
demonstrate,1,0,0,2,5,0,1,
describe,0,0,0,0,2,1,1,
design,32,0,40,25,16,0,31,
detect,6,0,33,19,0,0,1,
determine,25,0,27,45,7,3,2,
develop,0,0,1,4,4,0,1,
diagram,4,0,8,2,8,0,10,
differentiate,0,0,0,0,0,0,1,
discuss,1,0,6,0,0,2,3,
distinguish,0,0,0,2,0,0,0,
eliminate,1,0,8,0,5,2,1,
employ,0,0,2,3,0,0,1,
estimate,0,0,4,0,4,0,0,
evaluate,0,0,2,0,0,0,2,
examine,1,0,0,0,0,0,0,
exhibit,1,0,7,6,1,0,0,
experiment,4,0,10,11,8,1,3,
explain,0,0,0,0,0,2,2,
express,0,0,0,0,0,0,1,
group,2,0,8,9,13,0,5,
hypothesize,0,0,0,0,0,0,1,
identify,0,0,6,22,1,0,1,
illustrate,0,0,0,0,2,0,3,
imagine,1,0,0,0,0,0,0,
incorporate,5,0,8,0,6,0,0,
interpret,0,0,2,0,0,0,0,
investigate,0,0,0,0,2,0,0,
judge,0,0,2,0,0,1,0,
know,0,0,0,2,4,0,1,
list,0,0,0,2,2,0,0,
locate,0,0,2,3,0,0,0,
make,10,0,18,18,13,0,4,
match,1,0,1,5,0,0,0,
measure,6,0,10,12,2,0,1,
memorize,0,0,0,0,0,0,1,
name,6,0,4,0,8,0,0,
operate,3,0,2,4,2,1,0,
plan,0,0,4,0,0,0,0,
point,23,1,50,48,79,2,13,
practice,0,0,0,6,0,0,1,
produce,14,0,10,10,11,0,7,
question,0,0,4,2,0,0,0,
rate,12,0,26,28,17,6,28,
recognize,0,0,6,11,0,0,0,
recommend,1,0,4,3,0,0,0,
record,16,0,12,15,31,1,0,
relate,0,0,0,0,0,0,1,
review,0,0,0,0,0,3,3,
select,1,0,12,5,0,0,0,
set,25,0,43,152,99,7,24,
show,2,0,10,5,5,2,10,
simulate,0,0,0,0,0,0,1,
solve,1,0,0,2,2,0,2,
specify,1,0,0,0,2,0,0,
state,48,0,30,2,28,0,5,
summarize,0,0,0,0,0,1,1,
test,5,0,56,87,4,7,4,
use,44,1,65,76,43,0,41,
value,22,0,107,68,41,3,18,
